code,name,level,parent_code,longitude,latitude
FSM,Federated States of Micronesia,country,,,
FM1,Yap,state,FSM,,
FM2,Chuuk,state,FSM,,
FM3,Pohnpei,state,FSM,,
FM4,Kosrae,state,FSM,,
FM101,Rumung,municipality,FM1,138.153279,9.624697
FM102,Maap,municipality,FM1,138.163135,9.592511
FM103,Gagil,municipality,FM1,138.173061,9.552951
FM104,Tomil,municipality,FM1,138.149809,9.540321
FM105,Fanif,municipality,FM1,138.119596,9.562607
FM106,Weloy,municipality,FM1,138.106521,9.533336
FM107,Dalipebinaw,municipality,FM1,138.083665,9.514981
FM108,Rull,municipality,FM1,138.091584,9.495730
FM109,Kanifay,municipality,FM1,138.065241,9.478590
FM110,Gilman,municipality,FM1,138.060154,9.450187
FM111,Ulithi,municipality,FM1,139.750729,10.011501
FM112,Fais,municipality,FM1,140.518504,9.763139
FM113,Ngulu,municipality,FM1,137.487931,8.298455
FM114,Woleai,municipality,FM1,143.873066,7.365757
FM115,Eauripik,municipality,FM1,143.077682,6.682834
FM116,Ifalik,municipality,FM1,144.456197,7.249149
FM117,Faraulep,municipality,FM1,144.518254,8.592402
FM118,Elato,municipality,FM1,146.171995,7.511641
FM119,Lamotrek,municipality,FM1,146.379988,7.456215
FM120,Satawal,municipality,FM1,147.031163,7.380871
FM201,Weno,municipality,FM2,151.858997,7.442860
FM202,PiisPenau,municipality,FM2,151.764817,7.676933
FM203,Fono,municipality,FM2,151.880964,7.484743
FM204,Tonoas,municipality,FM2,151.877921,7.376089
FM205,Fefen,municipality,FM2,151.839122,7.345577
FM206,Siis,municipality,FM2,151.824347,7.298098
FM207,Uman,municipality,FM2,151.892403,7.284469
FM208,Parem,municipality,FM2,151.786258,7.355607
FM209,Eot,municipality,FM2,151.739446,7.386596
FM210,Udot,municipality,FM2,151.717714,7.379824
FM211,Romanum,municipality,FM2,151.669278,7.411215
FM212,Fanapanges,municipality,FM2,151.666346,7.354726
FM213,Wonei,municipality,FM2,151.603329,7.384153
FM214,Paata,municipality,FM2,151.584113,7.374440
FM215,Tol,municipality,FM2,151.621319,7.348642
FM216,Polle,municipality,FM2,151.585480,7.338960
FM217,Nema,municipality,FM2,152.575347,6.992169
FM218,Losap,municipality,FM2,152.738290,6.894226
FM219,PiisEmwar,municipality,FM2,152.701764,6.835629
FM220,Namoluk,municipality,FM2,153.116835,5.923199
FM221,Ettal,municipality,FM2,153.584559,5.576495
FM222,Lekinoch,municipality,FM2,153.815597,5.504194
FM223,Oneop,municipality,FM2,153.710915,5.507626
FM224,Satowan,municipality,FM2,153.733246,5.329137
FM225,Kuttu,municipality,FM2,153.458606,5.454685
FM226,Moch,municipality,FM2,153.542395,5.491081
FM227,Ta,municipality,FM2,153.677677,5.296732
FM228,Houk,municipality,FM2,149.301546,6.689196
FM229,Polowat,municipality,FM2,149.198163,7.357181
FM230,Pollap,municipality,FM2,149.429375,7.637855
FM231,Tamatam,municipality,FM2,149.412998,7.538666
FM232,Makur,municipality,FM2,150.127939,8.983776
FM233,Onoun,municipality,FM2,149.688484,8.583167
FM234,Onou,municipality,FM2,150.291836,8.798115
FM235,Unanu,municipality,FM2,150.339123,8.752663
FM236,Piherech,municipality,FM2,150.419270,8.569807
FM237,Nomwin,municipality,FM2,151.746646,8.431257
FM238,Fananu,municipality,FM2,151.912092,8.560967
FM239,Ruo,municipality,FM2,152.241389,8.610116
FM240,Murillo,municipality,FM2,152.340682,8.693613
FM301,Madolenihmw,municipality,FM3,158.287160,6.865853
FM302,U,municipality,FM3,158.271705,6.946262
FM303,Nett,municipality,FM3,158.225374,6.929098
FM304,Sokehs,municipality,FM3,158.151864,6.930285
FM305,Kitti,municipality,FM3,158.202651,6.841578
FM306,Kolonia,municipality,FM3,158.209038,6.963592
FM307,Mwokilloa,municipality,FM3,159.757896,6.680184
FM308,Pingelap,municipality,FM3,160.707857,6.209203
FM309,Sapwuafik,municipality,FM3,157.229597,5.798347
FM310,Nukuoro,municipality,FM3,154.969622,3.837633
FM311,Kapingamarangi,municipality,FM3,154.799677,1.065727
FM401,Lelu,municipality,FM4,163.008568,5.329953
FM402,Malem,municipality,FM4,163.009353,5.283618
FM403,Utwe,municipality,FM4,162.961711,5.289305
FM404,Tafunsak,municipality,FM4,162.960896,5.327943
